DATE,core_cpi_index,yoy_growth,mom_growth,mom_annualized
2015-08-01,242.817,,,
2015-09-01,243.316,,0.20550455692969205,2.494119705712561
2015-10-01,243.768,,0.18576665735092757,2.252117619806282
2015-11-01,244.241,,0.19403695316859704,2.35345408801777
2015-12-01,244.547,,0.1252860903779407,1.5138362301282182
2016-01-01,244.955,,0.16683909432542166,2.020542971795636
2016-02-01,245.51,,0.22657222755197992,2.7530050066136624
2016-03-01,245.913,,0.164148099873751,1.98765829784604
2016-04-01,246.551,,0.25944134714308564,3.1581070788940346
2016-05-01,247.137,,0.2376790197565759,2.8897294812421093
2016-06-01,247.54,,0.1630674484192962,1.9744551819133482
2016-07-01,247.829,,0.11674880827341472,1.4100167880380488
2016-08-01,248.423,2.3087345614186683,0.23968139321870474,2.9143964092545938
2016-09-01,248.842,2.271120682569183,0.16866393208359032,2.042848508741546
2016-10-01,249.142,2.2045551507991146,0.12055842663214467,1.4563324341503314
2016-11-01,249.481,2.1454219398053587,0.13606698188182165,1.6450787620142293
2016-12-01,249.92,2.197123661300271,0.17596530397103738,2.1321400919416034
2017-01-01,250.467,2.2502092221020176,0.2188700384122999,2.658288967672706
2017-02-01,250.998,2.2353468290497336,0.21200397657175074,2.5739225056443216
2017-03-01,250.944,2.045845481938735,-0.021514115650322907,-0.25786412103938616
2017-04-01,251.227,1.8965650108902388,0.11277416475390378,1.3617154991229619
2017-05-01,251.43,1.7370931912259246,0.08080341683018855,0.9739618967075536
2017-06-01,251.746,1.6991193342490218,0.12568110408464062,1.5186422360921048
2017-07-01,251.985,1.6769627444729984,0.09493696026947607,1.1452109856719517
2017-08-01,252.535,1.6552412618799472,0.2182669603349341,2.650876122427648
2017-09-01,252.812,1.5953898457655935,0.10968776605224662,1.3242230257377585
2017-10-01,253.526,1.7596390813271245,0.2824233026913259,3.4422219162533185
2017-11-01,253.816,1.7376072726981162,0.11438669012251435,1.3813089409604462
2017-12-01,254.344,1.770166453265043,0.20802471081413643,2.5250565314671736
2018-01-01,255.204,1.8912671130328462,0.33812474444061547,4.133810604126609
2018-02-01,255.711,1.87770420481439,0.1986645977335888,2.4101970751221335
2018-03-01,256.271,2.1227843662331214,0.21899722733866867,2.659852396439133
2018-04-01,256.63,2.150644636125887,0.1400860807504456,1.6940455520963793
2018-05-01,257.145,2.272998448872432,0.20067801893777215,2.4348941290845083
2018-06-01,257.399,2.245517307127032,0.0987769546364925,1.1917842507236598
2018-07-01,257.699,2.267595293370639,0.11655056934953834,1.4076072179426191
2018-08-01,257.891,2.1208941334864617,0.07450552776688824,0.8977391559795711
2018-09-01,258.368,2.1976804898501623,0.18496186373311296,2.2422613435633343
2018-10-01,258.917,2.126409125691242,0.212487614565271,2.57986310688052
2018-11-01,259.439,2.2153843729315836,0.2016090098371448,2.4463157078165043
2018-12-01,260.063,2.2485295505299874,0.24051896592260924,2.9247159453355875
2019-01-01,260.766,2.1794329242488475,0.270319114983697,3.2924943973599463
2019-02-01,261.186,2.1410889637129227,0.16106394238510902,1.9499810159510522
2019-03-01,261.567,2.06656235001228,0.1458730559831034,1.7645892909942118
2019-04-01,261.997,2.0913377235709074,0.1643938264383582,1.990660739201977
2019-05-01,262.217,1.97242800754438,0.08397042714227698,1.0123118576099932
2019-06-01,262.739,2.0746001344216447,0.1990717611749071,2.4151909884090994
2019-07-01,263.28,2.1657049503490455,0.2059077639787077,2.4990688070218425
