DATE,GDPPOT,gdppot_us_yoy,gdppot_us_qoq
1955-10-01,3019.152595,,
1956-01-01,3038.588138,,0.006437416589074374
1956-04-01,3057.44897,,0.006207103807235326
1956-07-01,3077.140146,,0.006440393999445959
1956-10-01,3098.206236,0.026184049501479345,0.006845996282419442
1957-01-01,3121.456677,0.027272053742217306,0.007504484604620165
1957-04-01,3146.925137,0.02926497478059309,0.008159158570951952
1957-07-01,3173.969862,0.031467437752508376,0.008594016006933547
1957-10-01,3202.258287,0.033584610924525915,0.008912631886861977
1958-01-01,3230.455474,0.034919208651249756,0.008805406832568696
1958-04-01,3259.1233,0.03565326727376794,0.008874236537457447
1958-07-01,3287.990357,0.0359236224530981,0.008857307423747907
1958-10-01,3318.540646,0.0363126108446854,0.009291477675705373
1959-01-01,3350.148377,0.037051401563444,0.00952458757378749
1959-04-01,3383.809953,0.03825772808288641,0.01004778660882577
1959-07-01,3419.804493,0.04008957499506427,0.010637281791812336
1959-10-01,3456.278305,0.04150549102540646,0.010665467009783214
1960-01-01,3493.325542,0.04273755932213752,0.01071882346580888
1960-04-01,3529.3878299999997,0.04302188332738188,0.010323197070077006
1960-07-01,3564.8860659999996,0.04242393777099451,0.010057901740993858
1960-10-01,3599.087586,0.04131880259567233,0.00959400086476725
1961-01-01,3632.680173,0.03989168181566516,0.009333639762108437
1961-04-01,3664.351592,0.038239991891171776,0.008718471621971702
1961-07-01,3697.145837,0.037100700710023915,0.008949535593581137
1961-10-01,3730.888343,0.03662060281963919,0.009126636461649573
1962-01-01,3767.211738,0.03703369374488563,0.009735856895356054
1962-04-01,3806.616356000001,0.03882399393949876,0.01045988936659037
1962-07-01,3848.40814,0.04091326381724225,0.010978722332794844
1962-10-01,3891.361104,0.04301194413954623,0.011161228860720573
1963-01-01,3934.344945,0.044365227819323616,0.011045965627763499
1963-04-01,3976.929057,0.04474123081291115,0.010823685415311202
1963-07-01,4019.352631,0.04441953264343734,0.010667420361780922
1963-10-01,4062.253653,0.043915880442022326,0.010673614867508174
1964-01-01,4105.386214,0.04347388736652835,0.010617889645602618
1964-04-01,4150.052763000001,0.0435320076165997,0.010879987088104004
1964-07-01,4195.65874,0.043864304823668876,0.01098925233110326
1964-10-01,4241.580675,0.04414471308741774,0.010945107275335708
1965-01-01,4288.630997,0.044635211755500004,0.011092638713043002
1965-04-01,4334.526483,0.0444509336470813,0.010701663545337636
1965-07-01,4381.851524000001,0.04437748528613672,0.010918157077966839
1965-10-01,4429.355723,0.04427006401334088,0.010841124748251385
1966-01-01,4477.4009719999995,0.04401637145561099,0.010847006202396203
1966-04-01,4525.750945000001,0.04411657484386877,0.010798669429511465
1966-07-01,4574.953251,0.04406852353219981,0.01087163359140586
1966-10-01,4624.43624,0.04404263942654674,0.010816064402228376
1967-01-01,4675.704746,0.04428992963554501,0.011086433748733082
1967-04-01,4728.572529,0.04481501224102358,0.011306912192269536
1967-07-01,4782.648786,0.04539839504471477,0.01143606377365547
1967-10-01,4838.050221,0.04619243728615019,0.01158383930724205
1968-01-01,4893.538635,0.04658846116969917,0.011469168666159435
1968-04-01,4948.25601,0.04645873139360712,0.011181555737323823
1968-07-01,5003.474593999999,0.04617228190504208,0.011159201118213558
1968-10-01,5058.945297,0.04565787164448687,0.011086436426902102
1969-01-01,5112.73941,0.04479391935974775,0.010633464060562314
1969-04-01,5164.659538,0.043733292611107144,0.010155050714779179
1969-07-01,5213.1627,0.04190849819672349,0.009391357095879904
1969-10-01,5260.569982,0.039855083058432106,0.0090937660549133
1970-01-01,5305.9726009999995,0.03779445332614739,0.008630741375051043
1970-04-01,5349.140050999999,0.035719782038418524,0.008135633793484809
1970-07-01,5391.127403,0.03413756931085232,0.007849364869807696
1970-10-01,5432.862072,0.032751601174307865,0.007741362034363153
1971-01-01,5476.136717,0.03207029677611417,0.007965349465253402
1971-04-01,5522.065266,0.03232766638212681,0.008387034760731993
1971-07-01,5569.532624,0.03309237709736235,0.008595942951319824
1971-10-01,5617.173967000001,0.0339253771874517,0.00855392116650977
1972-01-01,5663.7076210000005,0.03425241437411697,0.00828417532969028
1972-04-01,5708.142257,0.033696992345544796,0.007845503153313338
1972-07-01,5751.400574,0.03265407751025684,0.007578353000391891
1972-10-01,5794.836986,0.03162854133479609,0.007552319029274335
1973-01-01,5839.515326,0.031041098298954628,0.00771002533944265
1973-04-01,5887.324044,0.03139056087473402,0.008187103780194827
1973-07-01,5936.729789,0.032223318931706046,0.008391884773244485
1973-10-01,5987.7712280000005,0.033294162107772474,0.008597568158580149
1974-01-01,6039.644956,0.03427161653449873,0.00866327820899837
1974-04-01,6091.813817,0.03473390821903277,0.008637736386834183
1974-07-01,6143.175779,0.034774361868805004,0.00843130856308627
1974-10-01,6193.950644,0.034433415731693895,0.00826524697104869
1975-01-01,6243.688744,0.03378407000519057,0.008030109191809798
1975-04-01,6292.808538,0.03299423243026545,0.007867111256499193
1975-07-01,6341.59277,0.03229876502610818,0.007752378243420122
1975-10-01,6390.22425,0.03168795124160839,0.007668653879835841
1976-01-01,6438.193618,0.031152237399231897,0.00750667991033338
1976-04-01,6486.270795,0.03074338839832036,0.007467494743492287
1976-07-01,6535.427522,0.030565625865629276,0.0075785807521160375
1976-10-01,6585.224886,0.030515460548978357,0.007619603129614516
1977-01-01,6637.004124,0.030879858201866117,0.007862941493475883
1977-04-01,6690.479,0.03148314516215023,0.008057080423775842
1977-07-01,6745.154755,0.0320908207296311,0.008172173472183353
1977-10-01,6801.571706999999,0.03285336867689148,0.008364070810707336
